SN,open,high,low,close,change,pct_change,turnover,date
257,"2,835.66","2,844.02","2,782.21","2,823.87",-4.13,-0.15,"5,838,551,435.00",2021-06-30
258,"2,880.33","2,888.39","2,823.74","2,828.00",-47.49,-1.65,"6,726,361,869.00",2021-06-29
259,"2,898.42","2,900.89","2,861.58","2,875.49",5.11,0.18,"7,725,512,716.00",2021-06-28
260,"2,856.05","2,882.62","2,835.51","2,870.38",27.38,0.96,"7,167,432,728.00",2021-06-27
261,"2,871.65","2,872.51","2,833.53","2,843.00",-16.96,-0.59,"7,033,603,740.00",2021-06-24
262,"2,939.04","2,939.04","2,857.17","2,862.18",-51.65,-1.77,"8,362,671,681.00",2021-06-23
263,"2,844.70","2,913.84","2,825.03","2,913.84",79.44,2.80,"10,286,269,957.00",2021-06-22
264,"2,924.07","2,924.07","2,828.73","2,834.40",-71.06,-2.45,"11,845,454,604.00",2021-06-21
265,"2,975.25","2,978.26","2,881.01","2,905.14",-63.28,-2.13,"11,819,428,289.00",2021-06-20
266,"2,982.87","2,989.53","2,945.42","2,968.43",-1.29,-0.04,"10,904,958,935.00",2021-06-17
267,"2,989.55","3,030.43","2,943.95","2,969.69",-52.41,-1.73,"15,484,479,319.00",2021-06-16
268,"3,061.81","3,063.06","3,013.77","3,022.10",-3.72,-0.12,"16,528,749,739.00",2021-06-15
269,"3,009.46","3,051.02","3,009.46","3,025.82",42.72,1.43,"18,884,031,519.00",2021-06-14
270,"2,965.77","2,983.10","2,957.33","2,983.10",38.32,1.30,"19,550,166,636.00",2021-06-13
271,"2,968.09","2,969.35","2,926.15","2,944.78",-1.80,-0.06,"16,100,412,436.00",2021-06-10
272,"2,995.08","3,005.00","2,934.98","2,946.58",-13.56,-0.46,"16,997,092,703.00",2021-06-09
273,"2,931.17","2,960.14","2,926.51","2,960.14",53.44,1.84,"16,951,299,040.00",2021-06-08
274,"2,928.09","2,932.39","2,892.98","2,906.70",-0.21,-0.01,"15,818,659,063.00",2021-06-07
275,"2,884.07","2,919.10","2,884.74","2,906.89",50.13,1.75,"17,271,787,525.00",2021-06-06
276,"2,833.84","2,875.04","2,833.84","2,856.67",29.55,1.05,"16,907,020,286.00",2021-06-03
277,"2,793.22","2,827.12","2,771.42","2,827.12",55.76,2.01,"11,351,815,356.00",2021-06-02
278,"2,790.71","2,799.07","2,751.44","2,771.15",-11.68,-0.42,"8,598,160,117.00",2021-06-01
279,"2,842.28","2,849.26","2,781.69","2,782.68",-45.25,-1.60,"13,909,113,291.00",2021-05-31
280,"2,836.11","2,854.48","2,815.86","2,827.93",12.54,0.45,"17,028,432,245.00",2021-05-30
281,"2,784.59","2,835.39","2,763.19","2,815.39",-1.20,-0.04,"14,768,808,492.00",2021-05-27
282,"2,828.06","2,836.10","2,804.44","2,816.56",-6.50,-0.23,"11,133,398,108.00",2021-05-25
283,"2,840.21","2,850.55","2,807.95","2,823.06",3.07,0.11,"13,175,353,188.00",2021-05-24
284,"2,768.86","2,820.00","2,738.70","2,820.00",32.81,1.18,"11,695,034,728.00",2021-05-23
285,"2,807.52","2,807.52","2,776.17","2,787.18",6.37,0.23,"9,305,222,004.00",2021-05-20
286,"2,816.26","2,821.86","2,769.72","2,780.81",-13.09,-0.47,"11,958,097,411.00",2021-05-19
287,"2,780.70","2,794.28","2,767.25","2,793.89",34.68,1.26,"11,359,360,092.00",2021-05-18
288,"2,748.83","2,770.86","2,748.04","2,759.21",20.91,0.76,"9,576,361,139.00",2021-05-17
289,"2,693.90","2,738.29","2,693.90","2,738.29",54.21,2.02,"10,026,628,116.00",2021-05-16
290,"2,701.82","2,701.82","2,679.18","2,684.01",10.13,0.38,"7,126,885,280.00",2021-05-13
291,"2,685.40","2,687.34","2,664.32","2,673.88",0.56,0.02,"5,326,052,801.00",2021-05-12
292,"2,647.48","2,680.62","2,645.77","2,673.32",27.47,1.04,"5,810,673,071.00",2021-05-11
293,"2,613.17","2,646.76","2,608.13","2,645.85",27.41,1.05,"4,203,832,789.00",2021-05-10
294,"2,652.58","2,652.58","2,613.78","2,618.56",-18.56,-0.70,"6,148,966,772.00",2021-05-09
