,Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
448,2021-09-14,39.0,9045.0,8723.0,8801.0,531.0,4693942.0,8870.0,-69.0
449,2021-09-15,58.0,8750.0,8660.0,8750.0,1121.0,9759815.0,8801.0,-51.0
450,2021-09-16,136.0,8750.0,8330.0,8450.0,2047.0,17355914.0,8750.0,-300.0
451,2021-09-20,95.0,8600.0,8000.0,8050.0,1604.0,13046023.0,8450.0,-400.0
452,2021-09-21,151.0,8150.0,7448.0,7910.0,3042.0,23718830.0,8050.0,-140.0
453,2021-09-22,91.0,8251.0,7910.0,8200.0,2590.0,20991293.0,7910.0,290.0
454,2021-09-23,69.0,8290.0,7885.1,8089.0,1005.0,8145994.0,8200.0,-111.0
455,2021-09-26,78.0,8100.0,7854.0,7890.0,1923.0,15310382.6,8089.0,-199.0
457,2021-09-28,105.0,7756.0,7481.8,7575.0,1915.0,14518049.4,7790.0,-215.0
458,2021-09-29,81.0,8226.0,7465.0,7778.0,1437.0,10910689.0,7575.0,203.0
459,2021-09-30,151.0,8555.0,7890.0,8136.0,3435.0,28007462.4,7778.0,358.0
460,2021-10-03,137.0,8298.7,7976.3,8013.0,2833.0,22933234.0,8136.0,-123.0
461,2021-10-04,59.0,8100.0,7841.0,7950.0,1202.0,9579256.0,8013.0,-63.0
462,2021-10-05,96.0,8210.0,7742.0,7742.0,1613.0,12678894.0,7950.0,-208.0
463,2021-10-06,94.0,8053.0,7742.0,7900.0,2334.0,18529997.0,7742.0,158.0
464,2021-10-10,84.0,8060.0,7700.0,7815.0,1186.0,9367179.4,7900.0,-85.0
465,2021-10-11,176.0,7969.0,7500.0,7660.0,3321.0,25245725.5,7815.0,-155.0
467,2021-10-18,172.0,7935.0,7780.0,7889.0,2999.0,23541399.0,7806.0,83.0
468,2021-10-19,104.0,6705.6,6300.0,6475.0,1426.0,9355807.0,6574.17,-99.17
469,2021-10-20,42.0,6700.0,6472.0,6660.0,620.0,4092746.0,6475.0,185.0
470,2021-10-21,38.0,6625.0,6500.0,6574.0,589.0,3848404.2,6660.0,-86.0
471,2021-10-24,34.0,6593.0,6435.0,6460.0,560.0,3624397.0,6574.0,-114.0
472,2021-10-25,52.0,6575.0,6453.2,6500.1,1156.0,7524751.0,6460.0,40.1
473,2021-10-26,135.0,6900.0,6530.0,6710.0,2419.0,16207887.5,6500.1,209.9
